final_age,final_gender,device_type,time_spent,items_viewed,daily_screen_time,social_media_hours,stress_level,addiction_level,purchase_amount,total_spent
54,Female,Tablet,96,36,,,,,,563
51,Male,Tablet,12,23,,,,,,1387
28,Male,Mobile,72,47,,,,,,964
58,Male,Tablet,5,13,,,,,,95
20,Female,Tablet,106,25,,,,,,1081
45,Female,Mobile,92,2,,,,,,864
46,Male,Desktop,117,2,,,,,,1232
26,Female,Mobile,69,16,,,,,,560
20,Female,Tablet,49,9,,,,,,160
42,Female,Tablet,26,28,,,,,,6
51,Female,Tablet,5,13,,,,,,1385
29,Male,Mobile,22,35,,,,,,829
59,Male,Tablet,79,41,,,,,,806
26,Female,Tablet,13,13,,,,,,987
32,Female,Mobile,28,31,,,,,,1086
57,Male,Desktop,33,21,,,,,,1282
42,Male,Desktop,107,32,,,,,,1208
22,Female,Tablet,23,34,,,,,,497
28,Male,Mobile,97,8,,,,,,673
51,Female,Tablet,107,41,,,,,,1063
41,Female,Mobile,18,48,,,,,,79
32,Male,Mobile,114,2,,,,,,948
55,Male,Desktop,117,38,,,,,,1317
25,Female,Desktop,30,32,,,,,,375
22,Female,Mobile,26,40,,,,,,591
43,Male,Tablet,16,28,,,,,,333
35,Female,Desktop,77,37,,,,,,594
23,Male,Tablet,39,41,,,,,,781
54,Female,Desktop,33,1,,,,,,308
30,Male,Desktop,26,41,,,,,,583
45,Male,Tablet,48,10,,,,,,225
22,Male,Desktop,65,4,,,,,,983
30,Female,Desktop,113,35,,,,,,1192
34,Female,Tablet,38,10,,,,,,1483
57,Male,Desktop,2,47,,,,,,379
62,Female,Desktop,113,11,,,,,,1248
49,Male,Desktop,6,14,,,,,,1282
46,Male,Tablet,46,38,,,,,,192
20,Female,Mobile,50,12,,,,,,1219
57,Female,Tablet,38,45,,,,,,1417
51,Male,Mobile,106,17,,,,,,1243
57,Female,Desktop,88,16,,,,,,1403
44,Female,Mobile,18,35,,,,,,1114
30,Male,Tablet,27,2,,,,,,478
62,Male,Tablet,41,11,,,,,,848
50,Female,Desktop,72,41,,,,,,535
23,Male,Mobile,92,3,,,,,,1075
41,Male,Desktop,74,29,,,,,,1093
36,Female,Desktop,17,18,,,,,,967
33,Male,Tablet,119,20,,,,,,479
57,Male,Mobile,62,47,,,,,,1174
45,Female,Mobile,29,14,,,,,,950
50,Female,Mobile,58,34,,,,,,1410
58,Male,Mobile,70,49,,,,,,1094
30,Male,Desktop,78,31,,,,,,521
60,Female,Desktop,22,40,,,,,,1121
62,Female,Tablet,118,42,,,,,,430
42,Female,Desktop,6,18,,,,,,1496
59,Female,Desktop,26,30,,,,,,1122
53,Male,Tablet,39,25,,,,,,137
44,Female,Tablet,12,19,,,,,,1462
55,Female,Tablet,99,8,,,,,,1369
24,Male,Desktop,14,28,,,,,,318
22,Female,Desktop,22,8,,,,,,595
60,Male,Tablet,51,31,,,,,,1240
62,Female,Tablet,23,3,,,,,,1013
48,Female,Tablet,48,3,,,,,,163
40,Female,Desktop,71,44,,,,,,1296
59,Male,Desktop,104,22,,,,,,665
27,Male,Mobile,50,17,,,,,,752
49,Female,Desktop,89,36,,,,,,805
60,Male,Desktop,13,17,,,,,,414
47,Male,Desktop,85,14,,,,,,1384
56,Male,Tablet,105,9,,,,,,684
48,Male,Desktop,10,30,,,,,,1221
35,Male,Tablet,117,21,,,,,,1299
53,Male,Mobile,55,12,,,,,,118
19,Female,Mobile,9,37,,,,,,901
31,Female,Tablet,79,32,,,,,,1083
30,Male,Tablet,52,11,,,,,,69
46,Female,Tablet,2,20,,,,,,688
29,Female,Desktop,25,35,,,,,,1300
56,Female,Mobile,13,47,,,,,,1390
19,Female,Tablet,98,46,,,,,,150
49,Male,Desktop,51,11,,,,,,947
30,Female,Mobile,58,8,,,,,,1237
63,Female,Desktop,34,4,,,,,,1314
44,Male,Mobile,35,27,,,,,,1038
58,Male,Desktop,102,44,,,,,,743
34,Female,Mobile,3,40,,,,,,190
57,Female,Mobile,106,38,,,,,,1492
48,Female,Desktop,59,47,,,,,,1162
51,Female,Tablet,70,30,,,,,,839
41,Female,Mobile,119,44,,,,,,813
62,Female,Tablet,48,48,,,,,,175
52,Male,Desktop,64,48,,,,,,217
23,Female,Tablet,113,27,,,,,,31
36,Female,Tablet,19,21,,,,,,1018
47,Male,Tablet,67,20,,,,,,1096
24,Male,Tablet,82,4,,,,,,794
27,Male,Tablet,103,11,,,,,,412
58,Male,Mobile,73,13,,,,,,1137
49,Female,Mobile,116,9,,,,,,78
51,Female,Mobile,76,4,,,,,,582
45,Female,Desktop,5,12,,,,,,684
32,Female,Tablet,67,9,,,,,,1290
47,Female,Mobile,11,13,,,,,,1396
54,Female,Desktop,94,48,,,,,,790
46,Male,Mobile,68,26,,,,,,853
39,Female,Mobile,69,38,,,,,,874
21,Male,Tablet,1,42,,,,,,241
37,Male,Desktop,91,13,,,,,,731
49,Female,Tablet,92,39,,,,,,1394
53,Male,Tablet,63,28,,,,,,1314
21,Female,Mobile,29,19,,,,,,382
44,Male,Tablet,82,24,,,,,,665
34,Female,Desktop,12,19,,,,,,834
29,Male,Tablet,77,49,,,,,,910
39,Female,Tablet,41,13,,,,,,380
34,Female,Tablet,2,13,,,,,,623
27,Female,Mobile,37,28,,,,,,657
18,Female,Desktop,45,2,,,,,,1104
39,Female,Mobile,80,10,,,,,,1037
43,Male,Mobile,48,22,,,,,,200
35,Male,Mobile,24,13,,,,,,811
31,Male,Mobile,99,9,,,,,,897
64,Female,Mobile,22,33,,,,,,1318
46,Male,Desktop,100,14,,,,,,1089
29,Female,Tablet,11,48,,,,,,941
53,Female,Mobile,119,20,,,,,,1417
52,Male,Mobile,58,15,,,,,,851
29,Male,Desktop,46,32,,,,,,822
24,Female,Desktop,29,33,,,,,,568
46,Male,Tablet,35,17,,,,,,638
28,Female,Desktop,112,24,,,,,,683
50,Female,Tablet,118,30,,,,,,1022
23,Female,Mobile,15,13,,,,,,12
64,Female,Mobile,60,47,,,,,,1397
32,Female,Tablet,95,48,,,,,,1073
49,Male,Desktop,42,16,,,,,,348
28,Male,Tablet,105,2,,,,,,800
40,Female,Desktop,43,17,,,,,,1403
43,Female,Mobile,80,32,,,,,,1055
51,Male,Desktop,74,43,,,,,,1221
63,Male,Tablet,49,8,,,,,,853
51,Female,Tablet,64,3,,,,,,1385
46,Male,Mobile,32,12,,,,,,66
21,Female,Desktop,64,20,,,,,,1090
34,Male,Desktop,115,16,,,,,,426
52,Female,Desktop,2,14,,,,,,637
30,Male,Mobile,24,16,,,,,,796
58,Female,Desktop,87,49,,,,,,555
56,Male,Tablet,66,43,,,,,,1408
32,Male,Desktop,38,49,,,,,,1305
46,Female,Mobile,31,33,,,,,,610
46,Male,Desktop,115,30,,,,,,1459
28,Female,Desktop,104,12,,,,,,1143
49,Male,Tablet,26,15,,,,,,1149
19,Female,Desktop,29,18,,,,,,529
64,Male,Tablet,67,28,,,,,,903
31,Female,Tablet,78,23,,,,,,1444
37,Male,Mobile,25,14,,,,,,167
39,Female,Tablet,48,30,,,,,,791
28,Male,Tablet,65,33,,,,,,914
44,Female,Mobile,53,45,,,,,,986
20,Female,Tablet,67,15,,,,,,1365
34,Female,Mobile,118,7,,,,,,383
61,Male,Desktop,90,15,,,,,,1352
45,Female,Mobile,18,42,,,,,,177
46,Male,Tablet,9,46,,,,,,1004
38,Female,Mobile,38,38,,,,,,68
64,Male,Tablet,87,46,,,,,,1129
33,Female,Desktop,21,44,,,,,,1350
54,Male,Mobile,65,11,,,,,,979
37,Male,Desktop,21,29,,,,,,70
23,Female,Tablet,27,31,,,,,,462
36,Male,Tablet,106,25,,,,,,457
22,Male,Desktop,70,24,,,,,,1287
20,Female,Mobile,119,19,,,,,,1454
18,Male,Mobile,44,2,,,,,,983
55,Male,Tablet,100,22,,,,,,182
32,Male,Desktop,28,20,,,,,,284
51,Female,Desktop,45,33,,,,,,348
52,Male,Mobile,17,8,,,,,,1045
42,Female,Mobile,40,25,,,,,,300
41,Male,Mobile,116,46,,,,,,206
29,Male,Desktop,3,9,,,,,,966
35,Male,Mobile,76,34,,,,,,688
32,Female,Mobile,103,23,,,,,,1222
61,Male,Tablet,76,5,,,,,,1177
33,Male,Mobile,66,25,,,,,,379
44,Female,Mobile,46,8,,,,,,39
25,Male,Desktop,86,16,,,,,,1397
63,Female,Desktop,87,48,,,,,,33
42,Female,Tablet,30,45,,,,,,779
34,Male,Mobile,69,15,,,,,,225
46,Female,Tablet,9,1,,,,,,57
25,Male,Desktop,85,22,,,,,,795
32,Female,Tablet,11,3,,,,,,1381
44,Female,Desktop,69,38,,,,,,1420
63,Male,Tablet,99,14,,,,,,80
24,Female,Tablet,91,36,,,,,,498
20,Female,Mobile,113,18,,,,,,121
46,Female,Tablet,66,47,,,,,,284
61,Female,Mobile,88,41,,,,,,1203
41,Female,Mobile,31,18,,,,,,750
20,Male,Mobile,33,3,,,,,,953
37,Female,Mobile,39,10,,,,,,768
63,Male,Tablet,94,49,,,,,,299
32,Female,Desktop,46,39,,,,,,1022
42,Male,Desktop,37,47,,,,,,1479
47,Male,Desktop,115,1,,,,,,1049
31,Female,Tablet,92,27,,,,,,1101
24,Female,Mobile,60,27,,,,,,846
34,Female,Desktop,31,11,,,,,,1064
61,Male,Tablet,11,49,,,,,,1261
37,Female,Mobile,87,5,,,,,,501
53,Male,Desktop,2,7,,,,,,210
26,Male,Mobile,104,19,,,,,,430
55,Male,Desktop,105,29,,,,,,48
39,Female,Desktop,27,15,,,,,,1119
19,Female,Desktop,99,35,,,,,,1498
41,Male,Mobile,2,47,,,,,,609
25,Male,Tablet,103,37,,,,,,1495
28,Female,Mobile,101,12,,,,,,458
30,Male,Desktop,21,30,,,,,,599
34,Female,Mobile,58,20,,,,,,1361
25,Male,Tablet,5,37,,,,,,511
38,Female,Mobile,52,3,,,,,,798
35,Male,Tablet,45,9,,,,,,1498
47,Female,Tablet,85,41,,,,,,25
35,Male,Mobile,93,39,,,,,,1256
63,Female,Desktop,20,26,,,,,,1404
64,Female,Tablet,61,2,,,,,,1158
48,Male,Mobile,38,23,,,,,,624
55,Male,Tablet,20,23,,,,,,418
49,Female,Desktop,114,21,,,,,,1099
28,Male,Mobile,25,16,,,,,,1432
62,Female,Mobile,2,9,,,,,,1425
42,Male,Mobile,32,13,,,,,,341
50,Female,Desktop,26,28,,,,,,914
55,Female,Tablet,70,27,,,,,,280
58,Female,Mobile,41,17,,,,,,896
25,Female,Tablet,67,38,,,,,,17
28,Female,Tablet,97,36,,,,,,1031
39,Female,Desktop,1,1,,,,,,982
41,Male,Mobile,51,18,,,,,,1252
58,Male,Tablet,5,9,,,,,,978
34,Male,Mobile,13,13,,,,,,179
29,Female,Mobile,19,40,,,,,,1413
63,Female,Desktop,12,45,,,,,,245
49,Female,Mobile,48,15,,,,,,551
32,Female,Mobile,25,43,,,,,,18
33,Male,Tablet,57,44,,,,,,1223
39,Male,Desktop,115,46,,,,,,1425
45,Female,Mobile,35,4,,,,,,1459
37,Male,Tablet,76,33,,,,,,1334
50,Male,Desktop,94,24,,,,,,1362
27,Female,Desktop,5,36,,,,,,729
57,Male,Tablet,98,41,,,,,,1438
49,Female,Tablet,22,10,,,,,,7
50,Male,Tablet,103,36,,,,,,695
19,Female,Tablet,77,20,,,,,,1480
50,Female,Tablet,57,41,,,,,,751
50,Female,Mobile,47,45,,,,,,773
58,Female,Mobile,54,44,,,,,,876
30,Male,Desktop,3,11,,,,,,499
47,Female,Mobile,53,12,,,,,,421
50,Female,Mobile,84,18,,,,,,1419
30,Female,Mobile,31,30,,,,,,1401
43,Male,Tablet,69,44,,,,,,632
39,Female,Desktop,88,48,,,,,,1080
56,Male,Desktop,104,37,,,,,,1404
19,Female,Desktop,118,20,,,,,,1423
55,Male,Desktop,33,25,,,,,,1025
56,Male,Mobile,72,12,,,,,,146
43,Female,Mobile,88,21,,,,,,1114
63,Male,Tablet,50,25,,,,,,1492
32,Female,Desktop,84,11,,,,,,50
51,Female,Mobile,16,9,,,,,,848
59,Female,Mobile,114,25,,,,,,1013
61,Male,Tablet,116,35,,,,,,1266
57,Male,Tablet,76,32,,,,,,14
28,Female,Tablet,77,49,,,,,,668
20,Female,Mobile,109,14,,,,,,577
23,Male,Mobile,106,1,,,,,,653
26,Female,Tablet,39,17,,,,,,917
23,Female,Desktop,89,25,,,,,,644
26,Female,Tablet,46,8,,,,,,620
56,Male,Tablet,96,5,,,,,,702
48,Male,Tablet,88,5,,,,,,913
49,Male,Tablet,112,41,,,,,,182
58,Female,Mobile,47,35,,,,,,873
29,Female,Desktop,44,19,,,,,,1034
25,Female,Tablet,9,23,,,,,,857
25,Male,Desktop,104,9,,,,,,311
45,Female,Desktop,114,30,,,,,,552
37,Female,Desktop,87,16,,,,,,331
64,Female,Tablet,50,33,,,,,,1384
24,Female,Mobile,77,2,,,,,,399
28,Male,Tablet,60,14,,,,,,304
37,Male,Desktop,96,46,,,,,,753
33,Female,Desktop,114,1,,,,,,289
21,Male,Mobile,15,26,,,,,,334
23,Male,Tablet,36,25,,,,,,54
39,Female,Desktop,113,16,,,,,,777
43,Female,Mobile,63,15,,,,,,382
20,Male,Desktop,69,26,,,,,,1004
58,Female,Mobile,86,47,,,,,,778
59,Male,Mobile,80,44,,,,,,1172
31,Female,Tablet,41,16,,,,,,1088
28,Male,Desktop,74,14,,,,,,872
35,Female,Tablet,24,29,,,,,,1103
29,Male,Desktop,82,24,,,,,,7
40,Male,Tablet,49,47,,,,,,752
29,Male,Desktop,18,15,,,,,,1476
30,Female,Tablet,7,19,,,,,,279
42,Male,Mobile,4,8,,,,,,219
62,Male,Desktop,90,34,,,,,,333
36,Female,Desktop,69,2,,,,,,259
63,Female,Mobile,60,27,,,,,,1415
53,Male,Tablet,55,10,,,,,,130
62,Male,Desktop,16,35,,,,,,771
25,Female,Desktop,99,23,,,,,,1352
46,Female,Tablet,90,49,,,,,,1232
49,Female,Mobile,82,8,,,,,,1200
61,Female,Tablet,29,28,,,,,,221
35,Female,Tablet,23,23,,,,,,1273
23,Male,Tablet,117,4,,,,,,1364
35,Female,Desktop,14,14,,,,,,1326
36,Male,Mobile,79,42,,,,,,836
39,Male,Mobile,49,29,,,,,,186
54,Male,Tablet,33,1,,,,,,338
